Date,P_in,tmin_degF,tmean_degF,tmax_degF,tdmean_degF,vpdmin_hPa,vpdmax_hPa
2021-01-20,0,41.8,48.1,54.5,14.2,5.99,11.31
2021-01-21,0,42.9,52.5,62.1,18.7,6.16,15.07
2021-01-22,0,38.1,48.6,59.2,23.5,1.12,13.35
2021-01-23,0.28,34.9,37.6,40.4,37.5,0.05,0.65
2021-01-24,0,34.3,39.7,45.2,35.3,0.24,2.43
2021-01-25,0.2,32.6,35.8,39,35.3,0.13,0.93
2021-01-26,0.03,31.7,35.8,39.9,29.7,0.46,2.82
2021-01-27,1.02,29.1,34.7,40.2,31.9,0.13,2.73
2021-01-28,1.47,38.2,41.1,44,40.2,0.15,0.91
2021-01-29,1.53,38.3,40.3,42.4,40.3,0.02,0.1
2021-01-30,0.01,34.5,40.6,46.7,35.4,0.16,3.55
2021-01-31,0,39.5,45.8,52,35.6,1.51,6.86
2021-02-01,0,46.6,52.4,58.2,30.8,4.42,11.71
2021-02-02,0.04,47.9,52.2,56.6,36.3,2.22,9.4
2021-02-03,0.32,38.8,44,49.2,43.2,0.03,1.22
2021-02-04,0,36.8,42.2,47.6,36.3,0.35,3.72
2021-02-05,0,39.5,45.9,52.3,23.3,3.15,9.07
2021-02-06,0,44.9,53,61.1,29.7,5.41,11.4
2021-02-07,0,50.9,57.3,63.7,24.5,8.04,16.32
2021-02-08,0,50.2,56.6,63,29.2,5.66,13.55
2021-02-09,0,43.5,52.3,61.1,31,0.92,14.11
2021-02-10,0,45.1,50.5,55.9,38.1,1.92,8.07
2021-02-11,0,45.6,50.6,55.6,39.2,2.49,5.4
2021-02-12,0.48,41.2,47.7,54.1,41.1,0.04,6.09
2021-02-13,0.05,40.2,44.5,48.9,42.1,0.01,1.56
2021-02-14,0.17,39,42.4,45.9,40.9,0.03,0.88
2021-02-15,0.11,38,42.3,46.7,39.8,0.05,3.38
2021-02-16,0.06,40.1,44.4,48.6,44.4,0,0.08
2021-02-17,0,37.2,41.2,45.2,37.8,0.12,3.24
2021-02-18,0,39.4,45.4,51.5,20.3,1.83,9.79
2021-02-19,0,42.4,50.6,58.8,24.5,4.41,12.05
2021-02-20,0.09,38.2,46.1,54,43.1,0.06,3.9
2021-02-21,0.02,37.9,43.6,49.3,34.2,0.3,5.09
2021-02-22,0,42.9,48.7,54.5,29,3.93,8.79
2021-02-23,0,44.9,54.4,63.9,32.3,4.04,14.28
2021-02-24,0,53.5,59.5,65.6,19.2,7.82,18.04
2021-02-25,0,43.8,51.2,58.6,9.4,7.11,14.49
2021-02-26,0,43.7,51.3,59,13.7,6.46,14.16
2021-02-27,0,37.4,46,54.6,34.2,0.31,8.1
2021-02-28,0,38.6,45.8,53,25.1,2.53,9.4
2021-03-01,0,39.8,48.6,57.3,24.1,4.39,11.09
2021-03-02,0,44.9,52.6,60.3,20,6.72,13.49
2021-03-03,0,44.4,52.5,60.7,25.1,5.5,13.69
2021-03-04,0,39.6,49.8,60,29.3,0.71,13.15
2021-03-05,0,41.7,50.3,58.8,33.1,1.66,9.84
2021-03-06,0.31,37.5,47.3,57.1,38,0.08,9.24
2021-03-07,0.02,35.1,43.2,51.3,35.4,0,4.33
2021-03-08,0,35.6,44.3,53.1,31.7,0.34,7.84
2021-03-09,0,33.3,40.2,47.1,31.4,0.34,5.09
2021-03-10,0.4,34.6,40.4,46.2,34.2,0.14,3.6
2021-03-11,0.46,31.4,35.5,39.7,33.9,0,0.92
2021-03-12,0.06,32.2,38.6,44.9,33.4,0.06,4.05
2021-03-13,0,36.2,45.8,55.4,31,0.45,9.97
2021-03-14,0,34.8,42.7,50.5,34.6,0.11,6.42
2021-03-15,0.48,32.7,39.3,45.9,36.4,0.03,2.28
2021-03-16,0.13,31.8,35.4,38.9,31.1,0.24,2.09
2021-03-17,0,33.3,40.1,47,33,0.48,4.31
2021-03-18,0,34.7,42.1,49.5,36.5,0.57,4.64
2021-03-19,0.59,39.1,45.7,52.2,44.1,0,3.21
2021-03-20,0.01,37.6,43,48.4,40.2,0.03,2.29
2021-03-21,0,36.5,42.8,49.2,34.7,0.24,4.57
2021-03-22,0,35.9,45.3,54.6,33.1,0.49,7.02
2021-03-23,0,36.2,44.4,52.7,37.7,0.01,5.22
2021-03-24,0,39.6,46.9,54.2,22.6,1.14,9.83
2021-03-25,0,38.2,49.1,60,27.2,0.07,12.69
2021-03-26,0,38,44.6,51.3,36.8,0.08,4.62
2021-03-27,0,42.1,52.1,62,27.7,2.65,13.7
2021-03-28,0,50.8,58.8,66.7,29.5,8.12,15.87
2021-03-29,0,51.1,61,70.8,28.9,7.47,19.04
2021-03-30,0,47.2,54.9,62.6,29.6,4.68,12.81
2021-03-31,0,45.5,56.2,66.8,17.3,7.61,18.69
2021-04-01,0,48.9,61.9,74.8,28.6,7.33,23.72
2021-04-02,0,57.5,67,76.6,27.8,9.34,25.82
2021-04-03,0,38.7,55.1,71.6,35.9,1.14,18.33
2021-04-04,0,38.9,49,59,39.5,0.14,8.32
2021-04-05,0,39,48.9,58.7,40,0.35,7.42
2021-04-06,0,38,48,58.1,39.8,0.18,7.8
2021-04-07,0,38,51.9,65.8,41.8,0.24,12.43
2021-04-08,0,35.8,48.1,60.5,37.4,0.52,11.58
2021-04-09,0,36,50.3,64.5,34.1,0.36,13.06
2021-04-10,0,36.1,49,61.9,34.9,0.51,12.43
2021-04-11,0,37.6,52.5,67.4,33.4,0.91,13.37
2021-04-12,0,43.1,56.1,69.1,36.6,2.95,13.65
2021-04-13,0,50.4,59.9,69.3,36.6,3.43,15.52
2021-04-14,0,36.3,46.9,57.6,36.8,0.37,8.85
2021-04-15,0,36.6,48.9,61.2,32.9,0.82,12.5
2021-04-16,0,38.5,51,63.4,33.1,1.57,13.55
2021-04-17,0,39.8,52.9,65.9,35.3,1.81,14.8
2021-04-18,0,42.2,55.8,69.3,37.1,1.76,14.07
2021-04-19,0,58.4,67.5,76.6,29.1,8.4,24.17
2021-04-20,0,42.8,56.2,69.6,37.2,2.53,16.06
2021-04-21,0,39.1,48.6,58.2,40.1,0.16,7.03
2021-04-22,0,40.8,52.6,64.3,41.7,0.28,11.73
2021-04-23,0,39.9,51.5,63.1,42.2,0.2,9.28
2021-04-24,0,39.9,51.6,63.2,40.3,0.4,9.99
2021-04-25,0,40.8,50.3,59.9,38.8,0.15,10.61
2021-04-26,0.22,37,43.1,49.2,39.9,0.17,4.28
2021-04-27,0,35.3,44.4,53.6,36.9,0.11,7.06
2021-04-28,0,36.7,49.6,62.6,35.3,0.51,11.72
2021-04-29,0,48.2,61.6,74.9,33.1,4.87,22.09
2021-04-30,0,53.9,65.4,76.9,36.3,6.68,21.49
2021-05-01,0,47.3,60.6,73.8,39.9,1.92,20.25
2021-05-02,0,44.6,55.4,66.1,42.9,0.6,11
2021-05-03,0,47.1,58.1,69.1,41.1,2.22,14.25
2021-05-04,0,60.4,68.7,77,36.3,6.52,23.9
2021-05-05,0,62.2,70.8,79.5,41,7.58,23.82
2021-05-06,0,54.6,68.1,81.6,42,3.47,26.31
2021-05-07,0,44.6,56.9,69.3,39.5,0.47,15.93
2021-05-08,0,42.6,55.4,68.1,38.4,1.12,13.66
2021-05-09,0,57.4,67.2,77,29.3,8.34,27.14
2021-05-10,0,59.7,67,74.3,37.6,7.34,19.94
2021-05-11,0,61.1,70.6,80.1,35.2,8.56,26.43
2021-05-12,0,64.9,73.3,81.7,33.3,11.84,30.76
2021-05-13,0,61.7,70.4,79,40.9,5.64,23.62
2021-05-14,0,53.9,65.2,76.5,44.4,3.98,19.68
2021-05-15,0,42.7,56.3,70,44.3,0.31,13.59
2021-05-16,0,42.6,52.1,61.7,44.2,0.26,8.13
2021-05-17,0,44.8,55.5,66.3,45.3,0.49,10.76
2021-05-18,0,44.7,55.8,67,41.6,1.03,12.93
2021-05-19,0,42.1,56.1,70,32.1,2.02,17.89
2021-05-20,0,39.4,49.4,59.3,35.2,0.67,10.38
2021-05-21,0,38.5,47.9,57.3,34.2,0.33,9.59
2021-05-22,0,41.9,51.1,60.3,31.7,1.84,12.45
2021-05-23,0,43.5,55,66.4,35.3,1.44,14.97
2021-05-24,0,41.8,52.4,63,39.9,1.2,10.99
2021-05-25,0,52.7,64.1,75.5,41,3.01,21.86
2021-05-26,0,52.6,60,67.3,39.2,2.32,15.52
2021-05-27,0,50.3,63,75.7,38.1,4.11,21.53
2021-05-28,0,46.5,58.6,70.8,43.2,0.7,18.01
2021-05-29,0,45,59.2,73.5,44.5,1.1,17.06
2021-05-30,0,45.1,56.5,67.8,44.6,2.2,12.11
2021-05-31,0,50.9,67.3,83.7,41.9,3.56,28.85
2021-06-01,0,73.6,81.8,90,43.1,17.54,36.16
2021-06-02,0,69.7,78.7,87.7,47.2,14.29,33.11
2021-06-03,0,60.5,70.7,80.8,48,6.5,22.2
2021-06-04,0,61.3,72.8,84.4,46.8,6.79,27.75
2021-06-05,0,59.8,69.9,80,43.6,6.59,24.43
2021-06-06,0,60.5,69.9,79.4,42.5,7.01,24.96
2021-06-07,0,48.8,61.9,75.1,40.3,2.5,21.08
2021-06-08,0,43.6,54.1,64.6,37.9,0.56,13.02
2021-06-09,0,42.6,52.1,61.5,38,0.5,11.19
2021-06-10,0,42.6,51.1,59.6,38.4,0.53,10.12
2021-06-11,0,43.4,54.1,64.9,35.4,0.64,13.65
2021-06-12,0,45.9,58.2,70.5,39.2,0.86,20.09
2021-06-13,0,53.7,66,78.4,53.9,0.38,17.82
2021-06-14,0,54.8,65.3,75.8,52.9,0.51,16.18
2021-06-15,0,52.3,62.6,72.8,47.6,0.6,14.52
2021-06-16,0,53.1,65.4,77.7,40.5,5.51,21.78
2021-06-17,0,69,79.1,89.2,39,15.79,37.26
2021-06-18,0,77.6,87.7,97.8,38.1,20.86,51.42
2021-06-19,0,79.1,88.3,97.4,42.5,20.57,50.76
2021-06-20,0,72,82.3,92.6,43.8,14.59,42.71
2021-06-21,0,60.7,75.4,90.2,45.9,8.09,41.92
2021-06-22,0,52.6,65.7,78.8,49.2,0.78,21.79
2021-06-23,0,50.9,62.8,74.8,50.7,0.42,15.29
2021-06-24,0,50.9,62.9,75,49.4,0.52,17.63
2021-06-25,0,50,62.4,74.8,49.2,0.57,17.12
2021-06-26,0,51.3,65.9,80.5,49.9,1.87,23.11
2021-06-27,0,64.4,74.2,84,50.9,7.71,26.2
2021-06-28,0,62.6,73.3,83.9,50.2,5.2,28.8
2021-06-29,0,60.7,70.6,80.6,50.5,4.24,22.16
2021-06-30,0,61.7,72.8,83.9,52,5.36,24.89
2021-07-01,0,56.8,65.4,74.1,53.1,2.66,14.15
2021-07-02,0,54.2,66.6,78.9,53.6,0.12,19.04
2021-07-03,0,54.5,67.4,80.3,53.2,1.46,20.32
2021-07-04,0,55.5,67,78.5,51.9,0.92,18.19
2021-07-05,0,56.2,67.4,78.5,50.3,1.97,18.83
2021-07-06,0,58.1,68.5,78.9,48,5.1,20.32
2021-07-07,0,51.7,63.8,75.9,41.9,0.66,24.02
2021-07-08,0,48.8,62.2,75.6,43.7,0.48,23.04
2021-07-09,0,74.7,83.5,92.3,37.7,11.34,44.81
2021-07-10,0,80.3,89,97.8,35,28.42,52.37
2021-07-11,0,81,90.3,99.6,32.5,28.45,60.8
2021-07-12,0,75.8,83.3,90.7,36.7,23.89,45.3
2021-07-13,0,63.2,73.5,83.8,46.2,9.86,28
2021-07-14,0,55.2,66.4,77.6,49.4,2.36,19.83
2021-07-15,0,55.5,68,80.4,47.4,2.76,23.57
2021-07-16,0,58.8,67.9,77.1,47.7,5.4,19.05
2021-07-17,0,60.7,69.5,78.3,46.1,8.65,20.79
2021-07-18,0,71.4,78.5,85.7,43.9,17.25,29.84
2021-07-19,0,73.8,81.4,89,44.1,17.66,35.76
2021-07-20,0,69.6,79.3,89.1,41.7,15.84,39.39
2021-07-21,0,64.1,71.5,78.8,43.5,10.42,22.23
2021-07-22,0,62.6,72.6,82.6,39.8,9.63,30.22
2021-07-23,0,64.3,72.9,81.5,40.9,7.33,28.24
2021-07-24,0,71,79.5,88,42.4,13.44,33.73
2021-07-25,0,72.8,80.9,89,40.3,18.82,36.34
2021-07-26,0,72.5,80.3,88,39.5,18.98,35.92
2021-07-27,0,70.6,76.5,82.3,39.4,15.87,30.01
2021-07-28,0,65.6,76.8,87.9,45.3,8.75,33.57
2021-07-29,0,69.5,78.9,88.3,49.2,13.29,31.2
2021-07-30,0,74.4,81.5,88.5,46.9,19.25,32.89
2021-07-31,0,73.5,81.1,88.6,46.5,16.61,33.62
2021-08-01,0,66.4,75.9,85.3,46.4,16.21,32.69
2021-08-02,0,52.7,66.3,79.8,48.1,1.77,21.87
2021-08-03,0,57.9,71.1,84.2,46,7.75,30.01
2021-08-04,0,64.9,76.5,88.1,37.2,15.36,35.54
2021-08-05,0,54.8,69.6,84.3,44,2.79,32.4
2021-08-06,0,50.5,64.1,77.8,47.4,2.16,19.89
2021-08-07,0,62.5,75.4,88.3,43.8,7.51,33.8
2021-08-08,0,64.9,77.1,89.2,45.7,14.44,38.5
2021-08-09,0,60.6,74,87.4,49,9.55,31.1
2021-08-10,0,63.5,75.4,87.2,44.6,13.53,36.44
2021-08-11,0,69.2,80,90.8,44.4,17.99,38.9
2021-08-12,0,69.7,79.4,89.1,48,16.42,34.28
2021-08-13,0,67.1,78.2,89.2,44.6,14.94,36.55
2021-08-14,0,67.9,76.8,85.6,43.8,16.74,32.25
2021-08-15,0,67.9,78.2,88.5,49,15.44,32.96
2021-08-16,0,72.6,82.1,91.6,52.1,17.33,35.01
2021-08-17,0,63.3,75.8,88.4,47.8,10.29,35.08
2021-08-18,0,49.6,66.1,82.5,46.7,4.56,26.44
2021-08-19,0,51.5,63.8,76.1,45.1,4.23,20.16
2021-08-20,0,53.9,65.4,76.8,49.2,3.34,19.26
2021-08-21,0,52.3,64.3,76.4,49,4.19,18.52
2021-08-22,0,48.9,61,73.2,48.7,0.45,13.36
2021-08-23,0,49.8,63.8,77.7,46.2,1.05,22.66
2021-08-24,0,53.9,67.5,81.1,43,6.31,28.33
2021-08-25,0,53.4,66.5,79.6,47.8,3.04,21.83
2021-08-26,0,56.3,67.9,79.5,43.4,4.91,24.31
2021-08-27,0,64,74.8,85.6,39.8,14.73,32.37
2021-08-28,0,68.9,81,93.1,41.2,18.99,44.36
2021-08-29,0,72.3,84.8,97.3,41,22.12,52.46
2021-08-30,0,68.9,80.5,92.1,44.1,17.22,40.46
2021-08-31,0,65.9,81.1,96.3,37.8,13.95,51.38
2021-09-01,0,61.2,72.9,84.5,43,9.26,31.29
2021-09-02,0,49.4,61.6,73.8,43.8,2.5,18.28
2021-09-03,0,48,60.1,72.2,45.2,1.3,16.83
2021-09-04,0,54.5,66.4,78.3,47,5.76,21.11
2021-09-05,0,68.6,77.2,85.8,43,15.88,33.03
2021-09-06,0,73.8,82.3,90.9,32.5,22.56,43.13
2021-09-07,0,76.6,85.3,93.9,34.7,25.67,47.39
2021-09-08,0,76.5,82.6,88.7,38.4,22.34,40.16
2021-09-09,0,77.2,84.5,91.7,46.4,22.44,39.08
2021-09-10,0,66.2,77.3,88.3,42.7,12.46,39.51
2021-09-11,0,63.8,70.7,77.6,47.6,8.4,19.85
2021-09-12,0,65.9,72.9,80,43.4,12.79,24.76
2021-09-13,0,69.8,77.6,85.3,41.4,16.6,32.24
2021-09-14,0,72.9,80.2,87.6,37.3,20.54,35.52
2021-09-15,0,69.6,78.3,87,42.5,16.29,33.23
2021-09-16,0,62.7,71.8,81,44.4,9.04,26.27
2021-09-17,0,54,63.4,72.8,46,2.32,16.95
2021-09-18,0,49.5,62,74.4,46.9,1.96,17.58
2021-09-19,0,48.1,57.9,67.7,52,0.11,9.61
2021-09-20,0,54.4,61.6,68.9,49.7,0.14,11.06
2021-09-21,0,61,71.6,82.3,36.4,10.78,30.66
2021-09-22,0,72.2,81.4,90.5,39.6,18.77,39.87
2021-09-23,0,67.5,75.5,83.5,41.6,15.17,27.85
2021-09-24,0,69.9,78.1,86.3,42.3,16.35,32.38
2021-09-25,0,66.7,76.7,86.8,44.9,12.72,33.99
2021-09-26,0,54.3,67,79.8,50,3.17,23.52
2021-09-27,0,49.5,59.8,70.1,49.6,0.74,13.04
2021-09-28,0,47.5,58,68.6,51.3,0.05,10.4
2021-09-29,0,48.2,59.1,69.9,39.5,0.86,17.62
2021-09-30,0,52.8,62.4,72,37.9,4.82,17.96
